	CDN002_Vs_CDN001-U34B_Signal	CDN002_Vs_CDN001-U34B_Detection	CDN002_Vs_CDN001-U34B_Detection p-value	CDN002_Vs_CDN001-U34B_Signal Log Ratio	CDN002_Vs_CDN001-U34B_Change	CDN002_Vs_CDN001-U34B_Change p-value	Descriptions
rc_AA963767_at	102.6	A	0.234557	1.2	NC	0.160832	rc_AA963767 UI-R-E1-gk-e-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gk-e-04-0-UI /clone_end=3  /gb=AA963767 /ug=Rn.11629 /len=368
rc_AA963778_at	30.9	A	0.933135	0.5	NC	0.072349	rc_AA963778 UI-R-E1-gk-f-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gk-f-03-0-UI /clone_end=3  /gb=AA963778 /ug=Rn.13235 /len=459
rc_AA963780_at	392.0	P	0.014937	0.3	NC	0.500000	rc_AA963780 UI-R-E1-gk-f-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gk-f-05-0-UI /clone_end=3  /gb=AA963780 /ug=Rn.3079 /len=493
rc_AA963782_at	76.9	P	0.031336	0.7	NC	0.500000	rc_AA963782 UI-R-E1-gk-f-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gk-f-07-0-UI /clone_end=3  /gb=AA963782 /ug=Rn.3980 /len=454
rc_AA963794_at	247.0	A	0.189687	-0.0	NC	0.737535	rc_AA963794 UI-R-E1-gk-g-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gk-g-09-0-UI /clone_end=3  /gb=AA963794 /ug=Rn.2018 /len=453
rc_AA963795_at	636.1	P	0.013092	0.0	NC	0.500000	rc_AA963795 UI-R-E1-gk-g-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gk-g-10-0-UI /clone_end=3  /gb=AA963795 /ug=Rn.11632 /len=500
rc_AA963796_at	23.7	A	0.358690	-0.9	NC	0.281070	rc_AA963796 UI-R-E1-gk-g-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gk-g-11-0-UI /clone_end=3  /gb=AA963796 /ug=Rn.11633 /len=296
rc_AA963797_at	1070.1	P	0.000219	0.1	NC	0.500000	rc_AA963797 UI-R-E1-gk-g-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gk-g-12-0-UI /clone_end=3  /gb=AA963797 /ug=Rn.4228 /len=520
rc_AA963804_at	219.5	A	0.098054	-0.3	NC	0.500000	rc_AA963804 UI-R-E1-gk-h-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gk-h-08-0-UI /clone_end=3  /gb=AA963804 /ug=Rn.3549 /len=521
rc_AA963808_at	3042.4	P	0.000266	0.0	NC	0.500000	rc_AA963808 UI-R-C0-gs-a-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-a-08-0-UI /clone_end=3  /gb=AA963808 /ug=Rn.11634 /len=427
rc_AA963810_at	28.0	A	0.910595	0.6	NC	0.361190	rc_AA963810 UI-R-C0-gs-a-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-a-11-0-UI /clone_end=3  /gb=AA963810 /ug=Rn.23249 /len=353
rc_AA963813_at	63.8	A	0.765443	2.1	NC	0.320081	rc_AA963813 UI-R-C0-gs-b-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-b-08-0-UI /clone_end=3  /gb=AA963813 /ug=Rn.8673 /len=554
rc_AA963815_at	39.7	A	0.250724	-0.5	NC	0.957311	rc_AA963815 UI-R-C0-gs-b-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-b-10-0-UI /clone_end=3  /gb=AA963815 /ug=Rn.1193 /len=385
rc_AA963831_at	10.6	A	0.983000	0.5	NC	0.500000	rc_AA963831 UI-R-C0-gs-e-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-e-09-0-UI /clone_end=3  /gb=AA963831 /ug=Rn.21489 /len=520
rc_AA963833_at	183.7	A	0.089405	0.6	NC	0.500000	rc_AA963833 UI-R-C0-gs-e-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-e-11-0-UI /clone_end=3  /gb=AA963833 /ug=Rn.11639 /len=391
rc_AA963834_at	15.3	A	0.872355	0.2	NC	0.500000	rc_AA963834 UI-R-C0-gs-e-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-e-12-0-UI /clone_end=3  /gb=AA963834 /ug=Rn.11640 /len=427
rc_AA963838_at	139.3	A	0.267463	-0.6	NC	0.815287	rc_AA963838 UI-R-C0-gs-f-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-f-11-0-UI /clone_end=3  /gb=AA963838 /ug=Rn.11643 /len=479
rc_AA963844_at	43.7	A	0.697453	1.6	NC	0.098486	rc_AA963844 UI-R-C0-gs-g-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-g-12-0-UI /clone_end=3  /gb=AA963844 /ug=Rn.8041 /len=524
rc_AA963848_at	91.1	A	0.781017	-0.3	NC	0.500000	rc_AA963848 UI-R-C0-gs-h-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-h-10-0-UI /clone_end=3  /gb=AA963848 /ug=Rn.11645 /len=384
rc_AA963855_at	117.4	A	0.066865	0.8	NC	0.101770	rc_AA963855 UI-R-E1-gk-a-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gk-a-05-0-UI /clone_end=3  /gb=AA963855 /ug=Rn.19389 /len=369
rc_AA963858_at	129.7	P	0.035163	0.2	NC	0.382400	rc_AA963858 UI-R-E1-gk-a-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gk-a-08-0-UI /clone_end=3  /gb=AA963858 /ug=Rn.1023 /len=466
rc_AA963862_at	291.1	A	0.060419	-0.3	NC	0.869055	rc_AA963862 UI-R-E1-gk-b-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gk-b-02-0-UI /clone_end=3  /gb=AA963862 /ug=Rn.11648 /len=450
rc_AA963872_at	16.8	A	0.983000	0.3	NC	0.500000	rc_AA963872 UI-R-E1-gk-c-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gk-c-02-0-UI /clone_end=3  /gb=AA963872 /ug=Rn.11651 /len=463
rc_AA963874_at	269.3	P	0.008689	-0.2	NC	0.852483	rc_AA963874 UI-R-E1-gk-c-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gk-c-04-0-UI /clone_end=3  /gb=AA963874 /ug=Rn.11652 /len=565
rc_AA963877_at	31.8	A	0.397994	0.6	NC	0.051889	rc_AA963877 UI-R-E1-gk-c-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gk-c-07-0-UI /clone_end=3  /gb=AA963877 /ug=Rn.11654 /len=424
rc_AA963884_at	73.8	A	0.561639	2.1	NC	0.210683	rc_AA963884 UI-R-E1-gk-d-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gk-d-02-0-UI /clone_end=3  /gb=AA963884 /ug=Rn.8529 /len=487
rc_AA963891_at	5828.2	P	0.000219	0.2	NC	0.500000	rc_AA963891 UI-R-E1-gk-d-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gk-d-09-0-UI /clone_end=3  /gb=AA963891 /ug=Rn.8722 /len=411
rc_AA963968_at	204.2	A	0.107301	2.1	NC	0.440543	rc_AA963968 UI-R-C0-gs-b-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-b-05-0-UI /clone_end=3  /gb=AA963968 /ug=Rn.23245 /len=352
rc_AA963978_at	40.2	A	0.479380	1.7	NC	0.368216	rc_AA963978 UI-R-C0-gs-d-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-d-03-0-UI /clone_end=3  /gb=AA963978 /ug=Rn.11662 /len=548
rc_AA963980_at	170.4	A	0.250724	0.2	NC	0.492541	rc_AA963980 UI-R-C0-gs-d-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-d-05-0-UI /clone_end=3  /gb=AA963980 /ug=Rn.11663 /len=454
rc_AA963983_at	25.9	A	0.749276	-0.7	NC	0.189741	rc_AA963983 UI-R-C0-gs-e-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-e-02-0-UI /clone_end=3  /gb=AA963983 /ug=Rn.24938 /len=453
rc_AA963990_at	30.2	A	0.749276	-0.7	NC	0.500000	rc_AA963990 UI-R-C0-gs-f-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-f-05-0-UI /clone_end=3  /gb=AA963990 /ug=Rn.11666 /len=380
rc_AA963991_at	83.5	A	0.234557	-0.2	NC	0.500000	rc_AA963991 UI-R-C0-gs-g-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-g-01-0-UI /clone_end=3  /gb=AA963991 /ug=Rn.24964 /len=420
rc_AA963995_at	498.7	P	0.002228	0.5	NC	0.396744	rc_AA963995 UI-R-C0-gs-g-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-g-05-0-UI /clone_end=3  /gb=AA963995 /ug=Rn.11667 /len=468
rc_AA963997_at	131.2	A	0.073830	-0.4	NC	0.500000	rc_AA963997 UI-R-C0-gs-h-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gs-h-01-0-UI /clone_end=3  /gb=AA963997 /ug=Rn.11669 /len=352
rc_AA964003_s_at	314.8	M	0.048995	0.3	NC	0.500000	rc_AA964003 UI-R-C0-gu-a-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gu-a-01-0-UI /clone_end=3  /gb=AA964003 /ug=Rn.11671 /len=460
rc_AA964004_at	113.9	A	0.098054	0.1	NC	0.500000	rc_AA964004 UI-R-C0-gu-a-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gu-a-03-0-UI /clone_end=3  /gb=AA964004 /ug=Rn.11618 /len=460
rc_AA964006_at	22.4	A	0.541184	0.4	NC	0.500000	rc_AA964006 UI-R-C0-gu-a-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gu-a-06-0-UI /clone_end=3  /gb=AA964006 /ug=Rn.11672 /len=217
rc_AA964007_at	113.1	A	0.066865	-0.2	NC	0.500000	rc_AA964007 UI-R-C0-gu-b-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gu-b-01-0-UI /clone_end=3  /gb=AA964007 /ug=Rn.11673 /len=273
rc_AA964027_at	78.9	A	0.795978	0.4	NC	0.300289	rc_AA964027 UI-R-C0-gu-e-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gu-e-04-0-UI /clone_end=3  /gb=AA964027 /ug=Rn.11678 /len=412
rc_AA964033_at	97.9	A	0.066865	-0.1	NC	0.500000	rc_AA964033 UI-R-C0-gu-f-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gu-f-04-0-UI /clone_end=3  /gb=AA964033 /ug=Rn.11679 /len=517
rc_AA964036_at	36.9	A	0.837065	-1.4	NC	0.566823	rc_AA964036 UI-R-C0-gu-g-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gu-g-01-0-UI /clone_end=3  /gb=AA964036 /ug=Rn.11682 /len=272
rc_AA964038_at	29.4	A	0.810313	-1.5	NC	0.624713	rc_AA964038 UI-R-C0-gu-g-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gu-g-03-0-UI /clone_end=3  /gb=AA964038 /ug=Rn.23217 /len=209
rc_AA964047_at	61.1	A	0.284747	0.1	NC	0.500000	rc_AA964047 UI-R-C0-gu-h-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gu-h-06-0-UI /clone_end=3  /gb=AA964047 /ug=Rn.11686 /len=442
rc_AA964050_at	157.8	A	0.438361	-0.2	NC	0.500000	rc_AA964050 UI-R-C0-gw-a-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gw-a-03-0-UI /clone_end=3  /gb=AA964050 /ug=Rn.12041 /len=432
rc_AA964053_at	1968.9	P	0.001141	0.1	NC	0.500000	rc_AA964053 UI-R-C0-gw-a-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gw-a-06-0-UI /clone_end=3  /gb=AA964053 /ug=Rn.11689 /len=350
rc_AA964054_at	1107.2	P	0.000219	-0.2	NC	0.983483	rc_AA964054 UI-R-C0-gw-a-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gw-a-07-0-UI /clone_end=3  /gb=AA964054 /ug=Rn.11503 /len=419
rc_AA964059_at	1050.3	P	0.000322	0.0	NC	0.901514	rc_AA964059 UI-R-C0-gw-b-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gw-b-01-0-UI /clone_end=3  /gb=AA964059 /ug=Rn.11692 /len=462
rc_AA964061_at	21.5	A	0.901946	-1.2	NC	0.977292	rc_AA964061 UI-R-C0-gw-b-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gw-b-03-0-UI /clone_end=3  /gb=AA964061 /ug=Rn.11693 /len=380
rc_AA964064_at	397.5	P	0.017001	-0.2	NC	0.887899	rc_AA964064 UI-R-C0-gw-b-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gw-b-07-0-UI /clone_end=3  /gb=AA964064 /ug=Rn.12071 /len=412
rc_AA964065_at	97.4	A	0.715253	0.0	NC	0.462755	rc_AA964065 UI-R-C0-gw-b-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gw-b-08-0-UI /clone_end=3  /gb=AA964065 /ug=Rn.11694 /len=507
rc_AA964066_at	55.5	A	0.581931	-1.1	NC	0.631784	rc_AA964066 UI-R-C0-gw-b-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gw-b-09-0-UI /clone_end=3  /gb=AA964066 /ug=Rn.11710 /len=417
rc_AA964067_at	1720.5	M	0.048995	0.1	NC	0.794676	rc_AA964067 UI-R-C0-gw-b-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gw-b-10-0-UI /clone_end=3  /gb=AA964067 /ug=Rn.11695 /len=441
rc_AA964068_at	127.0	A	0.320830	-0.4	NC	0.514916	rc_AA964068 UI-R-C0-gw-b-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gw-b-12-0-UI /clone_end=3  /gb=AA964068 /ug=Rn.9556 /len=430
rc_AA964069_at	1910.0	P	0.000322	-0.3	D	0.999996	rc_AA964069 UI-R-C0-gw-c-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gw-c-01-0-UI /clone_end=3  /gb=AA964069 /ug=Rn.12101 /len=402
rc_AA964073_s_at	51.9	A	0.602006	0.2	NC	0.447930	rc_AA964073 UI-R-C0-gw-c-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gw-c-05-0-UI /clone_end=3  /gb=AA964073 /ug=Rn.11696 /len=413
rc_AA964074_at	26.2	A	0.892699	0.4	NC	0.500000	rc_AA964074 UI-R-C0-gw-c-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gw-c-06-0-UI /clone_end=3  /gb=AA964074 /ug=Rn.11697 /len=507
rc_AA964080_at	953.3	P	0.007543	0.0	NC	0.500000	rc_AA964080 UI-R-C0-gw-c-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gw-c-12-0-UI /clone_end=3  /gb=AA964080 /ug=Rn.12031 /len=463
rc_AA964082_at	978.8	P	0.001141	0.1	NC	0.500000	rc_AA964082 UI-R-C0-gw-d-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gw-d-02-0-UI /clone_end=3  /gb=AA964082 /ug=Rn.7282 /len=460
rc_AA964092_at	27.9	A	0.968664	0.7	NC	0.086123	rc_AA964092 UI-R-C0-gw-d-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gw-d-12-0-UI /clone_end=3  /gb=AA964092 /ug=Rn.11701 /len=575
rc_AA964094_at	214.3	A	0.117160	0.1	NC	0.500000	rc_AA964094 UI-R-C0-gt-e-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gt-e-03-0-UI /clone_end=3  /gb=AA964094 /ug=Rn.17382 /len=345
rc_AA964106_at	21.4	A	0.945530	0.4	NC	0.083222	rc_AA964106 UI-R-C0-gt-f-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gt-f-08-0-UI /clone_end=3  /gb=AA964106 /ug=Rn.11706 /len=259
rc_AA964114_at	484.5	P	0.001892	0.1	NC	0.500000	rc_AA964114 UI-R-C0-gt-g-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gt-g-05-0-UI /clone_end=3  /gb=AA964114 /ug=Rn.11707 /len=276
rc_AA964116_at	239.8	A	0.500000	0.2	NC	0.306825	rc_AA964116 UI-R-C0-gt-g-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gt-g-07-0-UI /clone_end=3  /gb=AA964116 /ug=Rn.11708 /len=382
rc_AA964124_at	36.4	A	0.458816	-2.1	NC	0.514916	rc_AA964124 UI-R-C0-gt-h-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gt-h-04-0-UI /clone_end=3  /gb=AA964124 /ug=Rn.11711 /len=419
rc_AA964130_r_at	24.2	A	0.837065	0.9	NC	0.156309	rc_AA964130 UI-R-E1-gl-e-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-e-02-0-UI /clone_end=3  /gb=AA964130 /ug=Rn.2931 /len=473
rc_AA964130_s_at	195.1	A	0.358690	-1.2	NC	0.500000	rc_AA964130 UI-R-E1-gl-e-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-e-02-0-UI /clone_end=3  /gb=AA964130 /ug=Rn.2931 /len=473
rc_AA964132_at	111.5	A	0.060419	1.4	NC	0.262465	rc_AA964132 UI-R-E1-gl-e-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-e-04-0-UI /clone_end=3  /gb=AA964132 /ug=Rn.11712 /len=468
rc_AA964134_at	139.3	A	0.810313	0.4	NC	0.679919	rc_AA964134 UI-R-E1-gl-e-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-e-06-0-UI /clone_end=3  /gb=AA964134 /ug=Rn.11714 /len=473
rc_AA964139_at	87.0	A	0.418069	0.3	NC	0.361190	rc_AA964139 UI-R-E1-gl-f-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-f-01-0-UI /clone_end=3  /gb=AA964139 /ug=Rn.11715 /len=170
rc_AA964142_at	335.2	A	0.189687	0.2	NC	0.500000	rc_AA964142 UI-R-E1-gl-f-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-f-04-0-UI /clone_end=3  /gb=AA964142 /ug=Rn.22189 /len=451
rc_AA964146_s_at	102.2	A	0.320830	-0.7	NC	0.566823	rc_AA964146 UI-R-E1-gl-f-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-f-08-0-UI /clone_end=3  /gb=AA964146 /ug=Rn.11716 /len=463
rc_AA964147_at	767.2	P	0.006532	0.1	NC	0.500000	rc_AA964147 UI-R-E1-gl-f-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-f-10-0-UI /clone_end=3  /gb=AA964147 /ug=Rn.11717 /len=203
rc_AA964152_at	235.3	A	0.107301	-0.1	NC	0.500000	rc_AA964152 UI-R-E1-gl-g-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-g-03-0-UI /clone_end=3  /gb=AA964152 /ug=Rn.11719 /len=241
rc_AA964157_at	156.4	A	0.378184	-0.4	NC	0.937401	rc_AA964157 UI-R-E1-gl-g-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-g-08-0-UI /clone_end=3  /gb=AA964157 /ug=Rn.24552 /len=427
rc_AA964161_at	1220.8	P	0.003585	0.0	NC	0.500000	rc_AA964161 UI-R-E1-gl-h-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-h-01-0-UI /clone_end=3  /gb=AA964161 /ug=Rn.11721 /len=426
rc_AA964164_at	51.4	A	0.972140	0.3	NC	0.686578	rc_AA964164 UI-R-E1-gl-h-04-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-h-04-0-UI /clone_end=3  /gb=AA964164 /ug=Rn.11723 /len=486
rc_AA964181_at	208.1	A	0.107301	0.1	NC	0.500000	rc_AA964181 UI-R-C0-gy-f-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gy-f-01-0-UI /clone_end=3  /gb=AA964181 /ug=Rn.16795 /len=264
rc_AA964185_at	40.9	A	0.660442	-1.1	NC	0.737535	rc_AA964185 UI-R-C0-gy-f-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gy-f-06-0-UI /clone_end=3  /gb=AA964185 /ug=Rn.17385 /len=276
rc_AA964189_at	76.8	A	0.621816	-0.7	NC	0.617600	rc_AA964189 UI-R-C0-gy-f-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gy-f-11-0-UI /clone_end=3  /gb=AA964189 /ug=Rn.11729 /len=265
rc_AA964199_at	27.8	A	0.956032	-1.6	NC	0.544665	rc_AA964199 UI-R-C0-gy-g-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gy-g-10-0-UI /clone_end=3  /gb=AA964199 /ug=Rn.22735 /len=305
rc_AA964206_at	70.0	A	0.066865	-0.2	NC	0.946094	rc_AA964206 UI-R-C0-gy-h-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gy-h-06-0-UI /clone_end=3  /gb=AA964206 /ug=Rn.11735 /len=256
rc_AA964212_at	535.5	A	0.073830	0.0	NC	0.922359	rc_AA964212 UI-R-C0-gy-h-12-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-C0-gy-h-12-0-UI /clone_end=3  /gb=AA964212 /ug=Rn.11738 /len=259
rc_AA964213_at	205.2	A	0.107301	-0.5	NC	0.988169	rc_AA964213 UI-R-E1-gl-a-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-a-01-0-UI /clone_end=3  /gb=AA964213 /ug=Rn.11739 /len=434
rc_AA964214_at	110.0	A	0.339558	1.9	NC	0.500000	rc_AA964214 UI-R-E1-gl-a-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-a-02-0-UI /clone_end=3  /gb=AA964214 /ug=Rn.11740 /len=517
rc_AA964218_at	57.3	A	0.218945	-0.4	NC	0.925041	rc_AA964218 UI-R-E1-gl-a-06-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-a-06-0-UI /clone_end=3  /gb=AA964218 /ug=Rn.9397 /len=346
rc_AA964219_at	91.9	A	0.189687	-0.1	NC	0.500000	rc_AA964219 UI-R-E1-gl-a-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-a-07-0-UI /clone_end=3  /gb=AA964219 /ug=Rn.12017 /len=469
rc_AA964221_at	31.7	A	0.679170	-1.3	NC	0.036319	rc_AA964221 UI-R-E1-gl-a-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-a-09-0-UI /clone_end=3  /gb=AA964221 /ug=Rn.11742 /len=211
rc_AA964222_at	39.7	A	0.810313	0.2	NC	0.500000	rc_AA964222 UI-R-E1-gl-a-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-a-10-0-UI /clone_end=3  /gb=AA964222 /ug=Rn.24309 /len=485
rc_AA964225_at	526.6	P	0.000805	-0.0	NC	0.500000	rc_AA964225 UI-R-E1-gl-b-01-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-b-01-0-UI /clone_end=3  /gb=AA964225 /ug=Rn.2987 /len=452
rc_AA964226_at	38.6	A	0.458816	-0.6	NC	0.603256	rc_AA964226 UI-R-E1-gl-b-02-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-b-02-0-UI /clone_end=3  /gb=AA964226 /ug=Rn.8425 /len=416
rc_AA964227_at	27.3	A	0.732537	-2.3	NC	0.500000	rc_AA964227 UI-R-E1-gl-b-03-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-b-03-0-UI /clone_end=3  /gb=AA964227 /ug=Rn.11744 /len=491
rc_AA964239_at	13.0	A	0.715253	-0.9	NC	0.500000	rc_AA964239 UI-R-E1-gl-c-05-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-c-05-0-UI /clone_end=3  /gb=AA964239 /ug=Rn.11748 /len=410
rc_AA964241_at	155.4	P	0.035163	0.1	NC	0.194853	rc_AA964241 UI-R-E1-gl-c-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-c-08-0-UI /clone_end=3  /gb=AA964241 /ug=Rn.22682 /len=507
rc_AA964242_at	366.1	P	0.031336	0.2	NC	0.500000	rc_AA964242 UI-R-E1-gl-c-09-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-c-09-0-UI /clone_end=3  /gb=AA964242 /ug=Rn.11749 /len=403
rc_AA964244_at	257.5	P	0.003585	-0.1	NC	0.869055	rc_AA964244 UI-R-E1-gl-c-11-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-c-11-0-UI /clone_end=3  /gb=AA964244 /ug=Rn.11750 /len=452
rc_AA964252_at	287.9	A	0.175989	0.4	NC	0.262465	rc_AA964252 UI-R-E1-gl-d-07-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-d-07-0-UI /clone_end=3  /gb=AA964252 /ug=Rn.11753 /len=423
rc_AA964253_at	44.5	A	0.302547	-0.5	NC	0.313422	rc_AA964253 UI-R-E1-gl-d-08-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-d-08-0-UI /clone_end=3  /gb=AA964253 /ug=Rn.24963 /len=497
rc_AA964255_at	37.6	A	0.892699	0.4	NC	0.074959	rc_AA964255 UI-R-E1-gl-d-10-0-UI.s1 Rattus norvegicus cDNA, 3  end /clone=UI-R-E1-gl-d-10-0-UI /clone_end=3  /gb=AA964255 /ug=Rn.12178 /len=477
